>> aali hupatikana kwa ghali. --	whatever is superior is found at great price. advice given to youth.
>> mmoja hashui chombo. --	one man cannot launch a vessel.
>> mnazi huhimili dhoruba, mwembe huanguka. --	the palm tree can survive through a storm, but the mango tree falls. the palm tree is tall, but bends and bends. the mango tree does not bend and is uprooted
>> mnazi mpata vyote, ila chujio iliukosa. --	the oil palm has everything, except the strainer. mnazi or mchikichi: palm tree.chujio, chungio: sifter. the mnazi or mchikichi palm has many uses: the branches and leaves are used in house building and mat making; the nuts have oil, the flowers are salty; the sap becomes palm wine.
>> mngakaanga bizi tu chini mwa taya. --	whenever you roast maize we are under your jaw.
>> mngalegeza demani, chombo ki juu ya mwamba. --	although you slacken the sail, the vessel is on the reef. shut the stable door when the steed is stolen.
>> mngamba mwakaza dama, kuna kiwingu joshini. --	although you tighten the sail, there is a squall to seaward. "you think you have all your business under control, but there is a storm brewing up. never cease being alert". you maintain that you will stand up to the rough sea to confront the danger, although you have no power over it. "on people who engage in a futile struggle against superior forces". mngamba, munge-amba, you would say
>> mnunuzi wa mchuzi, talipia mbuzi. --	one who buys the gravy will have to pay for the goat. to slaughter a lamb for the sake of a chop. to sow the wind and reap the whirlwind.
>> mnyama aangukapo shimoni hatoki na manyoya yote. --	if an animal falls in a hole it does not come out with all its hair intact.
>> mnyamaa kadumbu. --	one who keeps silent lasts.
>> mny ama asiye na bahati huzaa wakati wa mawindo. --	the unlucky animal calves at the time of hunting. the unlucky person may feel happy while bad luck is closing in.
>> mnyapara wa kikoa asipolipa hubaki kichwa cheupe. --	if a bald person of the club does not pay, the shining head will remain. mnyapara, foreman, supervisor, but could also mean, a bald person. para, bald.
>> mnyonge hana hasira. --	a poor person is never angry. the poor are always patient and humble, knowing that they are losers. indeed being too soft. it might help to show anger from time to time
>> mnyonge hana jamaa. --	a pauper has no kin.
>> mnyonge hupata haki na mwenye nguvu kutaka. --	a poor person usually receives rights as a gift, but the powerful just takes them. power is stronger than right and money is all-powerful.
>> mnyonge kama kinda la ndege. --	poor and helpless like a young bird.
>> mnyonge kupata haki ni mwenye nguvu kupenda. --	the poor's right depends on the liking of the powerfull.
>> mnyonge, msonge. --	oppress the poor person.
>> mnyonge na kiko chake. --	the poor have their pipe. their troubles.
>> mnyonyore haunuki, hupendeza mauaye. --	the mnyonyore shrub has no scent, [and yet] its flowers are pleasing. said of people who do good without boasting.
>> mnywa maji kwa mkono [mmoja] kiu yake i palepale. --	one who drinks water with [one] hand, will remain thirsty. of somebody who does his work half-heartedly.
>> moja shika kumi hutapata. --	hang on to one, you will not get ten.
>> moja shika si kumi uje. --	taking one is better than ten upon return.
>> mola wako umtii, hakuwachi, hachukii. --	obey the lord, who does not desert nor hate thee.
>> moto hauna ubaguzi yeyote humwunguza. --	fire has no preference, burns anybody.
>> moto hauzai moto. --	fire does not beget fire. moto hauzai moto, huzaa majivu. fire does not give birth to fire, but to ashes. could also be used to say that bright and honest parents do not necessarily have bright and honest children
>> moto ni mtumishi mwema, lakini bwana mbaya. --	fire is a good servant, but a bad master.
>> moto usioweza kuuzima usiwashe. --	do not kindle a fire that you cannot put out. do not start something which you cannot control, for you may fail and perhaps damage yourself.
>> moto wa kumvi, hudumu. --	a fire of chaff [under the ashes], continues. a quiet spirit remembers
>> moto wa mbali hauunguzi. --	a distant fire does not burn. the explanation given by. a nearby neighbor is better [in need] than a faraway relative.
>> moto wa mbali hukolea vizuri. --	a reasonable distant fire satisfies most. you'll keep warm, without getting burned. beware of what can destroy you.
>> moyo hauna subira. --	the heart has no patience. first half of a verse.
>> moyo huambia babu yake. --	the heart tells its grandfather. the heart tells the owner to do something. babu: grandfather; here, the owner of the body.
>> moyo hujua uchungu wa nafsi yake. --	the heart knows its own pain. nobody else does.
>> moyo huona mbali kuliko kichwa. --	the heart sees further than the head.
>> moyo hutamani hwishiwa sandani. --	the heart is full wishes, it will all end in the shroud.
>> moyo ni chuo. --	the heart is like a book. the human heart knows things that it never learned. even the 'second sight' or the sixth sense (hisu ya sita) is believed to slumber in the heart."
>> moyo ni kilindi. --	the heart is deep.
>> moyo ni nyongo, ukigeuka udongo. --	the heart is like bile, if it changes still more it becomes clay. either the heart is full of sad thoughts or it is like molding clay. the heart changes all the time.
>> moyo safi silaha ya kutosha. --	a pure heart is weapon enough
>> moyo ukitamani utashawishika. --	if the heart desires it will entice.
>> moyo wa kupenda hauna mithali [mithili]. --	a loving heart has no equal.
>> moyo wa kupenda hauna mithali. --	"pardon me" is not an insult. ashkum: excuse me, forgive me.
>> moyo wa kupenda hausemezeki. --	a loving heart is not argued with. someone in love will not listen to a harsh word about the beloved.
>> moyo wa kupenda na kuwiza huwa. --	a loving heart can also reject. can change to hatred.
>> moyo wa kupendana kwanza huwiza. --	the heart of love can also begin to hate. impossible to commit to eternal love.
>> moyo wa mwenzako ni tunda la chupa. --	the heart of your friend is like the hole in a bottle. difficult entering. we are ignorant of what goes on in the heart of a neighbor or friend.
>> moyo wa mwenzio ni msitu wa giza. --	the heart of your friend is a dark forest. it is impossible to fully understand even a friend.
>> moyo wa mwenzio tundu ya mwanzi hauingiliki. --	the heart of your friend is like the hole in a reed, impossible to enter.
>> mpaji asiyepewa. --	the giver who is never given.
>> mpaji na kupa ni mungu. --	the real [only] giver is god. mpaji: giver; is said especially of god.
>> mpaji na mpokezi, mtahamali, nani? --	a giver and a receiver, who is [more] burdened? mtahamali, a person who takes charge of a load, a porter.
>> mpaji wa kupa ni mungu, usiaminie mwanadamu. --	the giver of giving is god, do not put your trust in man.
>> mpanda farasi wawili, hujishuka miguu miwili. --	one who rides two horses will come down on two legs.
>> mpanda farasi wawili hupasuka msamba. --	one who rides two horses splits asunder. msamba, the perineum, also called kitako.
>> mpanda hila huvuna ufukara. --	a person who plants deceit harvests poverty. hila or hadaa: cheat, deceive, outwit; tricks, deceit.
>> mpanda madaraja yuyashuka. --	one who climbs up stairs must climb down too.
>> mpanda ngazi hushuka, mungu pweke hutukuka. the climber of a ladder will come down, only god is truly high. all people will die, even the powerful. tukuka or kuwa tukufu: to be honored, respected.
>> mpanda ngazi hushuka. --	one who climbs a ladder, usually comes down.
>> mpanda ngazi hushuka. --	one who climbs a ladder will come down.
>> mpanda ngazi hushuka, usingie ujingani. --	a person who climbs a ladder comes down, don't do a foolish thing.
>> mpanda ovyo hula ovyo. --	one who plants in a disorderly fashion will eat likewise. as you sow, so shall you reap.
>> mpango si matumizi. --	a plan [alone] is no use. it is the implementation of the plan that makes it useful
>> mpata leo, si mpata kesho. --	the receiver today is not [necessarily] the receiver tomorrow. what you receive today is what you have, what you receive tomorrow is uncertain.
>> mpata radhi hupata hadhi. --	one who is content obtains respect.
>> mpe kisogo si mwenzio. --	the one who turns his back on you is not your friend.
>> mpemba akipata gogo hanyii chini. --	if the natives of pemba can get a log, they don't relieve themselves on the ground. nothing but the best.
>> mpemba hakimbii mvua ndogo. --	a native of pemba does not run away from a little rain. because when it rains in pemba it falls heavily.
>> mpemba hashoni tomo dogo. --	a native of pemba does not sew a small container. they do everything big. tomo: a basket-like container, sewn with palm leaves (miyaa); intended to carry grain or food.
>> mpe mbwa jina mbaya halafu umnyonge. --	give the dog a bad name and then strangle it.
>> mpe mtu sifa baada ya kufa. --	praise a person after his death. many secret things may yet come out about a person while alive
>> mpe mwana jina akue. --	give the child a name to grow up to. name is important. a child tries to imitate its namesake.
>> mpenda cha bure, hufa kidole mdomoni. --	one who loves free things dies with the finger in the mouth. kidole mdomoni: the finger in the mouth of frustration and regret.
>> mpenda kula ni mvivu. --	one who loves to eat is lazy. said during the rainy season when often the whole day is spent in the field.
>> mpenda watu watu hawampendi. --	the lover of people is not loved by the people. a person who is kind to others is not necessarily loved by them.
>> mpende akupendaye. --	love the one who loves you. also the first line of a love song.
>> mpende nduguyo. --	love your brother.
>> mpenzi hana kinyongo. --	a lover has no grudge. one does not criticize a friend. love thinks no evil.
>> mpe, simnyime, na utukuni asende. --	give it, don't be stingy, and don't let that person go to the market. said to be used by the host as a secret sign to the servants that they are not to be lavish with provisions and hospitality to an unwelcome guest, to whom, at the same time, they wish to seem to be urging to greater lavishness. utukuni, but more commonly, sokoni, market. see different proverbs in the section hospitality.
>> mpewa chakula na watu hana uso. --	one who is given food by people has no face. usage: of people who depend on others for their living. people who do not work to earn their daily bread are considered faceless, i.e., they cannot enjoy their rights and cannot express their opinion lest they lose the favor of their benefactors.
>> mpiga maji maganja, huvuja kwa makwapani. --	one who hits water with the palms of the hands [will have the water] oozing from the armpits. a useless effort. one does not give anything to a person who is unworthy of it. when you associate with worthless people, you cannot avoid being caught up with their worthlessness. an uneducated person will not understand benefits
>> mpiga mbizi sharti azame. --	a diver must sink. [and probably drown one day.] a risk-taker once will fail.
>> mpiga ngumi (or konde) ukutani [ni] huumiza mkonowe. --	he who strikes the wall with his fist hurts his hand. do not fight those stronger than you.
>> mpige mbwa ukitaka kumfahamu mwenyewe. --	hit the dog if you want to know the owner.
>> mpigia sifa bahati yake ndogo. --	someone aspiring after fame has little chance.
>> mpigo wa kwanza wa mti unaua nyoka. --	the first blow with the stick kills the snake. often your only chance. to correct evil use adequate means.
>> mpigwa chini na jembe huinuwa na lilo koongo. --	one who is brought to the ground by the hoe is lifted up by that same delving. one who is bent down working the land, will rise to a good life. koongo: a hole dibbled or dug with a hoe for planting seeds.
>> mpika majungu hataki majungu. --	a potboiler does not like other potboilers. potboilimg is causing discord. people who cause discord do not like others to cause discord between their colleagues
>> mpika vyungu viwili, kimoja huungua. --	the person who cooks two pots will burn one.
>> mpishe mwenye nguvu apite. --	let the strong man pass by.
>> mpishi asingizia moto, ikiwa chakula kimevia. --	the cook blames the fire if the food is not well cooked.
>> mpita njia hafurahii sifa apewazo. --	a passerby does not enjoy the honors that are given to him/her.
>> mpita njiani huja milimani. --	one who goes on along the road will arrive in the mountains.
>> mpofuka ukongweni, hapotewi na njia. --	one who becomes blind in old age does not lose the way. if you get trouble in your old age, there are many friends and relatives to help and you are supposed to have developed your own survivors's skill
>> mpozi ni mungu. --	god is the [real] physician.
>> mpumbavu alienda porini, akaokota tembo, akasahau njia yake. --	the fool went into the forest, picked up an elephant, and forgot the way back. it is not enough to bear children, one must also educate them
>> mpumbavu anasema, mwenye elimu hasemi. --	the fool is talking, the scholar is quiet.
>> mpunga haukosi mapepe. --	there is no rice without some empty ears [husks].
>> mpuzi hana kazi. --	a fool has no work. mpuzi: a person who likes talking and most of the time the talk is useless. hence a person who has time for such talk implies that there is no work to be done.
>> mrefu kama mlingoti. --	someone tall like a (ship's) mast.
>> mrefu kama unju. --	tall like unju. unju: an extremely tall person.
>> mrega havuki nyangwe: mkunguru na papasi. --	a mrega does not travel through nyangwe, on account of fever and ticks. it is better not to visit places where one may risk not being welcome
>> mrembo hakosi kilema. --	even a well-adorned person has some imperfection.
>> mrima nyarima, usipoliwa na nyani, utaliwa na kima. --	mrima is a land of pitfalls: if you are not eaten by baboons, you will be eaten by monkeys. mrima is the coastland between vanga and the mouth of the rufiji river, facing zanzibar. it used to have a bad name among travellers. here, baboons stand here for the inhabitants of the towns, and monkeys for the inhabitants of the country. nyarima = ni ya rima. rima: a pit for catching big game. l;
>> mrogi hasemi. --	a sorcerer speaks not. keeps silent about evil intent. keeps away from people.
>> msafara wa maisha hauna kurudi nyuma. --	life's caravan never turns back.
>> msafiri awapo sultani ni maskini. --	a traveler is a poor person, even when a ruler. travelers encounter many dangers.
>> msafiri hodari ni uvumi. --	a brave traveler has many tall stories. uvumi: gossip, rumors, tales.
>> msafiri hufikiri. --	a traveler has to think carefully.
>> msafiri hula usafiri wake. --	a traveler has a hard time.
>> msafiri kadiri. --	a traveller does according to his condition. in case of need one gives a twist to one's religious rules or customs
>> msafiri kafiri. --	a traveler becomes like an unbeliever. a person is sometimes compelled by circumstances to act contrary to that person's religion. muslims are not allowed to eat pork, but away from home, they are allowed to eat pork, when nothing else is available.
>> msafiri lazima atosheke. --	a traveler must be self-sufficient.
>> msafiri maskini ajapokuwa sultani. --	a traveler is a poor person, even when a ruler. travelers encounter many dangers.
>> msafiri mbali, hupita jabali. --	 the traveller [who is determined to go] far, will pass the mountain.
>> msafiri ni aliye pwani. --	the traveler is the one who is on the shore. traveling by sailboat is dependent on wind and cargo; therefore there is no accurate time for departure. only those who are present at the shore will embark.
>> msaidie anayekusaidia. --	help the person who helps you. by doing a service to someone, you teach indirectly to give. service in turn.
>> msambe ndisi wajinga, mtutumao kizungu. --	do not say we are stupid, you who employ us in foreign fashion. arabs and europeans have employed africans and often called them ignorant, but it is the employers who are ignorant of good manners
>> msasi haogopi miiba. --	 a hunter is not afraid of thorns. someone who wants to succeed must not be afraid of difficulties.
>> msema kweli hakosi. --	one who tells the truth makes no mistakes.
>> msema kweli hukimbiwa na marafiki zake. --	one who tells the truth is deserted by friends. flattery brings friends, truth enemies.
>> msema kweli yu mpenzi wa watu. --	one who speaks the truth is loved by the people.
>> msema (msemaji) kweli yu mpenzi wa mungu.(ngu) --	one who speaks the truth is beloved by god.
>> msema pweke hakosi. --	a person who speaks alone cannot go wrong.
>> msema pweke hakosi sheria. --	one who speaks alone does not break a law. everybody pulls the law to his own side. give both parties a fair chance to explain their case. used, e.g., by parents when their children accuse one another. msema pweke hatolewi makosa. one who speaks in private [when alone] will not get rid of mistakes. msoma pekee hatolewi makosa. one who reads alone does not get rid of his mistakes. azungumzaye peke yake hakosei. one who talks to himself does not offend anybody. msema mweke hajui ailiye. the one who talks when alone does not know what is wrong. aili: mistake, defect.
>> msema "sasa" hajibiwi "saa." --	one who says "now," is not answered "an hour" [later]. do not delay when urgent help is needed.
>> msema "siwezekani," simsadiki. --	the one who says "i am invincible," do not believe that person.
>> mshairi yu fakiri. --	a poet is poor. poets are leading an ascetic life, they are men of wisdom and restraint who deserve respect and support.
>> mshale hupindukia utakako or utokako. --	an arrow turns as it wants
>> mshale juu ni kutembea, chini ndipo pake. --	an arrow travels high in the sky, but its place is here below. dependence is hard for the ambitious
>> mshale kwake ni porini. --	an arrow belongs in the wilds. there an arrow can be used, not in town.
>> mshale kwao porini. --	an arrow belongs in the wilds. there an arrow can be used, not in town.
>> mshale kwenda msituni haukupotea. --	an arrow going into a forest is not necessarily lost. a good deed is not lost, even if it seems so. also: an evil deed or word is not lost. it comes back
>> mshale mzuri haukai ziakani. --	a fine arrow does not remain in its quiver. a nice thing is used more than a bad thing. a young woman cannot be kept in confinement. ziaka, ala, uo, riaka: scabbard, quiver.
>> mshale mzuri huua maisha alani. --	the beautiful arrow kills life in the scabbard. is this to say that a beautiful woman upsets life in a village?
>> mshale usio nyoya hauendi mbali. --	 an arrow without a feather will not go far. certain things are necessary for success, though seemingly unimportant
>> mshenzi mpe mpya nguo asahau kwao. --	give the strangers new clothes so that they may forget their homeland. mshenzi, one from the interior
>> mshenzi ndiye asiyejua atokapo. --	stupid people do not know where they come from.
>> mshika kinyaa haachi kunusa mkono. --	one who touches excrement does not stop smelling his hand. kinyaa, kinyesi, excrement, dung, stool.
>> mshika mavi, hayaachi kumnuka. --	the one who touches dung will inevitably smell. if you are in charge of other people's money you may be tempted to take a little for yourself
>> mshika mbili lazima kimoja kimponyoke. --	one who grasps two things, must allow one to go.
>> mshipa haukai ela kwa kipeto. --	the belt does not stay [with its wearer] without a clasp. e.g,. a marriage needs to be concluded in a proper way
>> mshona kubwa ni lake. --	the one who sews roomy, sews his own garment.
>> mshoni hachagui nguo. --	 a tailor does not choose the cloth. one must do with what one has. a teacher does not choose students.
>> mshujaa hula nguvu zake. --	a hero wastes his strength. great individuals are generous and self-sacrificing
>> msiba hauji mmoja. --	misfortune does not come singly.
>> msiba wa kujitakia hauna kilio. --	a misfortune that is wanted has no lamentations. nobody has pity on someone who has brought misfortune upon oneself.
>> msi chake mwenda zake. --	a person that owns nothing, walks alone.
>> msichana mzuri kumbe funza. --	a beautiful girl but just like a statue [lit., an insect]. funza: insect, jigger; a carving, statue, figure (mbombwe). kumbe: lo behold (amazement).
>> msi chembe wala uta, si muwani. --	one who has neither arrow nor bow is not a warrior. "be prepared for your task". without a sharp tongue, no one can become a successful politician. chembe: arrowhead or spearhead. muwani (lamu dialect): a fighter.
>> msi hadhari hujifunga kwa ulimi wake. --	if you are careless, you bind yourself with your tongue.
>> msiiteni hodi, msipotoa kodi. --	do not call on [your landlord] if you have not paid your rent. do not call on somebody if he has a claim on you.
>> msijitutize. --	do not overload yourselves. do not be too greedy
>> msikiti usio na maji hausaliwi. --	a mosque which has no water is not prayed in. understood is that a mosque must have water fountains, or a well or a large tub, for ablutions before prayer.
>> msi kucha kwambwa nyamba. --	one who is not afraid to be slandered is a fool. kwambwa or kusemwa: spoken evil of. nyamba, duni: a fool
>> msi lake ana mungu. --	the one who does not have any [word] has god. "god suffices as a witness." eloquence is not necessary.
>> msi nacho hasidi wa mwenye nacho. --	one who doesn't have it is jealous of the one who has it. and the one who has it does not want the other to have it
>> msi nacho si mwendiwe, mwenye nacho ende nawe. --	the one who has nothing is not your friend. let the one who has something go with you.
>> msi nadhari ni punda, msi kujua endako. --	one who has no common sense is like a donkey, not knowing where to go. a donkey is not told where the master will lead it. a brainless person is like a cow. nadhari (ji), akili nzuri: brain.
>> msinji ukiinama hauna nguvu; usiushtaki ukuta ukianguka. --	 a foundation that is not level is not strong; don't blame the wall if it falls down.
>> msitukane wagema na ulevi ungalipo.
>> msitukane wakunga na uzazi haujaisha. --	 don't insult the midwives when the delivery is not yet finished.
>> msitukane wakunga na uzazi ungalipo. --	do not abuse midwives while there is a delivery going on. do not insult people who might be of use to you one day. msitukane as well as usitukane (plural and singular are used.)
>> msitu ni mpya na komba ni wapya. --	the forest is new and so are the lemurs. if one comes back to an old familiar place, everything is changed, both place and people. new lords, new laws. komba, the galago, a small racoon-like animal, lemur.
>> msoma pweke hakosi. --	the one who reads alone makes no mistakes. without criticism from others one thinks highly of oneself.
>> mso utahamilivu, hali matunda mabivu. --	a person that has no patience eats no ripe fruit.
>> mstahamilivu hula mbivu. --	a patient person eats ripe [fruit]. a patient person eats well cooked [food]. it takes a long time for a seed to bear fruit and waiting is not enough, the tree has to be protected. instead of mstahamilivu,
>> msukosuko ndiyo mwendo wa ngalawa. --	being tossed about is the way the dug-out canoe moves. msukosuko: rolling, pitching.
>> msuluhishi haogopi jeraha. --	a peacemaker must not be afraid of a wound. a peacemaker is one who reconciles two quarrelling people. in doing this, that person may be beaten by one or both of the parties and sustain a wound. if a peacemaker is afraid of being so wounded, he/she should not attempt this task
>> mtafitafi hula swi, mtulivu hula nyama. --	a restless person eats fish, but a reliable person eats meat. a person too much in a hurry. swi or samaki, fish. mtafitafii, a blabber, go-between, tale-bearer
>> mtafutaji wa mpwa hali wali mtupu. --	one who looks up a nephew does not eat dry rice.
>> mtaka cha mvunguni huinama. --	the one who wants what is under the bed must stoop for it. good things are not easily obtained, one must strive to get them. mvungu: "the people [of zanzibar] make use of the place beneath the bed as a place of storage for such articles as cooking utensils, provisions, etc.". "stoop to conquer"
>> mtaka cha mvunguni sharti ainame. --	a special application: if you are interested in other peoples' dirty laundry, you will have to debase yourself
>> mtaka hapati asokadiriwa. --	the covetous person does not get what was not destined for him/her.
>> mtaka kilicho mbali hukitembelea. --	one who wants what is far away walks to it. one has to make all possible efforts to succeed.
>> mtaka maarifa huwa rafiki wenye maarifa. --	one who is after knowledge befriends people with knowledge.
>> mtaka mbele mpishe. --	let a person who wants to go ahead, pass. if you don't you'll have a fight on your hands.
>> mtaka mtama hapandi kunde. --	one who wants millet does not plant cow peas. in the sense that you will expect the same treatment you give to others.
>> mtaka na mtamani, watoto hawazaani. --	mr. wishful and mrs. longing do not get children. wishes and desires are not enough.
>> mtaka nyingi nasaba hupata mwingi msiba. --	one who boasts about ancestry will see plenty of trouble. sooner or later that person will meet someone who knows the real truth. nasaba: offspring.
>> mtaka unda hanadi. --	one who wants to create things does not announce it publicly.
>> mtaka unda haneni [or hasemi]. --	a person who desires to create something does not announce it. that person just turns them into facts.
>> mtaka vingi kwa pupa hana mwisho mwema. --	one who wants many things eagerly does not have a nice death.
>> mtaka yote kwa pupa hukosa yote. --	one who wants everything in a hurry loses everything.
>> mtaka yote(or vyote) hukosa yote (or vyote). --	one who wants all loses everything. you may lose the one piece of meat you have while going after another. [aesop's fable about the dog and its shadow.]
>> mtama [ni] mmoja, wapishi [ni] mbalimbali [wengi]. --	"the millet is always the same, but the cooks have different ways"
>> mtama ni mui na wapishi nao. --	if the millet dish is bad, the cooks are no good. if something goes wrong others are blamed. mui: mbaya.
>> mtama ukimwagika huonekana punje. --	when you spill millet, a grain will be seen. a more literal equivalent of this proverb is the following: panapofuka moshi panaficha moto. the place that emits smoke, hides fire"
>> mtama usioula wawingiani ndege. --	why drive away the birds from the millet that you do not eat yourself.
>> mtambi wa nyumba mbili hawi mdhabidhabina. --	a person who goes from one house to another must not become a gossip-monger. who frequents two houses must not be a mischief-maker.
>> mtambua ndwele ndiye mganga. --	the person who recognizes the illness is the physician. only when a person recognizes the cause of trouble can it be cured.
>> mtaratibu hushinda mwenye nguvu. --	a careful man usually accomplishes more than a violent person.
>> mtarazaki hana kinyongo. --	a person looking for food doesn't feel bad. someone seeking food is so accustomed to denials that that person feels no bitterness. mtarazaki: someone looking for food.
>> mtasema mchana, usiku mtalala. --	you will talk in daytime, at night you will sleep. this is not only a general rule of conduct, but also, take counsel with your pillow. let them talk [do not kill yourself worrying], they will get tired.
>> mtashi asio kitu nakae akitamani. --	let a person who desires, but has nothing, stay a-wanting. said of someone who has no ambition, but envies others
>> mtashi hana haya. --	a needy person has no shame. mtashi, from -taka, desire: a person who begs, who pleads earnestly, importunely.
>> mtashi hana kinyongo ajapowaswa hakomi. --	an earnest pleader does not have scruples and does not stop even if warned.
>> mtashi haoni haya. --	a person who has a great need has no shame. a beggar has no fear of what people may say
>> mtawanya vumbi michanga huusha. --	the winnower raises dust. the critic will attract criticism
>> mtazama mbele haoni nyuma. --	one who looks forward does not see what is behind.
>> mtegemea nundu haachi kunona. --	a person who relies on the hump of a cow will not fail to grow fat. if you associate yourself with the right people, you cannot fail profiting from your relationship. nundu: the hump of the zebu, a delicacy.
>> mtego bila [ya] chambo haunasi [hata chango]. --	a trap without bait catches nothing; not even a worm.
>> mtego mmoja si kuwinda. --	with one trap [net] there is not good hunting.
>> mtego wa panya huingia waliomo na wasiokuwemo. --	rats that are here or not yet here may be caught in the trap. a trap does not choose. an action may affect many people; plan carefully.
>> mtema-kuni chake akuonye. --	let the woodcutter show you it [the wound] by cutting him/her-self. take a warning from experienced people
>> mtemba ni mtemba bora unatifua moshi. --	a tobacco pipe is an excellent pipe if it raises smoke. tifua: cause to rise, stir up.
>> mtembea saa ya chakula akifika watu wamekila. --	the traveller at mealtime, when he/she arrives, people have eaten
>> mtembezi hula miguu (or maguu) yake. --	an [aimless] wanderer wears [lit., eats] away his feet. lives off his feet. a loafer uses up all his energy for nothing. said to a child who is late for a meal. however the sukuma proverb: nyeji akulyaga magulu gakwe, is translated: the walker eats on foot. the man who moves around is never hungry.
>> mtembezi mpe mwezi, mpe kiza mwizi. --	give the traveler bright moonlight, but give the thief darkness.
>> mtembezi wa usiku haogopi kichaka. --	a person who walks at night is not afraid of dark areas. kichaka: dense clumps of trees, the bush.
>> mtemewa mate mengi hulewa. --	one who is spat upon often enough gets intoxicated. if somebody is told a thing over and over again that person will finally believe it.
>> mtenda husahau, mtendwa hasahau. --	 the one who inflicts forgets, the one to whom it is done does not forget.
>> mtenda husahau, siye mtendwa. --	 the one who inflicts forgets, the one to whom it is done does not forget.
>> mtenda jambo asiishe, ni kama asiyetenda. --	they who do not finish their work, are as if they had not started. perseverance leads to the goal. jambo (mambo), deeds, actions.
>> mtenda mema hasemi, akisema hatendi. --	one who does good does not speak about it; if that person does speak [about it] that one does not do [good] deeds. also used regarding people who talk a lot but perform poorly.
>> mtenda mema hulipwa maovu. --	one who does good things is paid back bad things. said when people take advantage of one's goodness.
>> mtenda mema [kifani] cha nina. --	a benefactor is [like] a mother. follows mother's example. the cha asks for a ki-noun (such as kifani or kifano).
>> mtenda mema kinyuki jazaye kulipwa moto. --	one who does good is rewarded like a bee, with fire.
>> mtenda mema mabaya kamwangukia. --	bad things happen to a person who does good.
>> mtenda viwi hwambiwa. --	the evil-doer should be told [about it].
>> mtenda wema kwa watu atendea nafsiye. --	people who do good to others do it [also] to themselves. being polite and helpful will make people helpful and polite. the benefactor will be rewarded later
>> mtendee kafiri upate mradi wako. --	work for the unbeliever to obtain your goal. overcome your antipathy towards a task or person in order to get the thing you need or want. kafiri: an unbeliever. in this case, someone you do not like.
>> mtende jirani haki na imani. --	treat your neighbor justly and honestly.
>> mtenzi haishi tamaa. --	an active hard-working person is never satisfied with his work. mtenzi [from tenda, to do], one who does things, carries on work.
>> mteuzi haachi tamaa. --	a chooser [a critic] is always wishing. mteuzi, a connoisseur, a critic. from teua, to choose, select.
>> mti hauangulii wasiopo. --	a tree drops nothing on those who are not there.
>> mti hauangulii wasiopo. --	a tree drops nothing on those who are not there. the cultural reference is to the coconut plantations, of which there are many on the swahili coast. every morning the mkezi, the professional climber, climbs the trees and cuts down the ripe coconuts. anyone walking underneath may get one on the head, which is unpleasant; as a result, however, that person will have a coconut, which ia pleasant. so, the proverb has two applicative meanings: (1) ambitious and greedy people will always be found in places where advantages can be got, or where high offices are to be had, so they are seen in the company of dignitaries and wealthy people; (2) conversely, if there seems to be a danger somewhere, it is better to be absent
>> mti hauendi ila kwa mwao. --	a log cannot be moved except "properly," i.e., by under-supports
>> mti hauendi ila kwa nyenzo. --	a log cannot be moved except on rollers. about common effort. could also be applied to bribery: "one who greases thewheels helps his oxen."
>> mti haushuliki ila kwa mti mwingine. --	a log cannot be pushed along except by another log. kushulika from shua, to launch a boat.
>> mti huchongewa na tundale. --	a tree is purposed by its fruit .
>> mti huomolewa na matunda yake. --	"a tree is dug up with its fruit, i.e. digging up a tree involves the fruit also". it is because of its fruits that the tree is exposed to hostilities
>> mti huvunja mimea, nani ataililia? --	the [falling] tree crushes the plants, who will cry for them?
>> mtikisa mbuyu hujitikisa mwenyewe. --	one who tries to shake a baobab tree only shakes oneself. a baobab is a very big tree and there is no person who can shake it. there are things that cannot be changed.
>> mti mkubwa ukianguka matawi hayabaki. --	if a big tree falls the branches cannot remain where they were. if a person with many dependents dies, the dependents' conditions deteriorate.
>> mti mkubwa ukigwa [ukianguka], wana wa ndege huyumbayumba. --	when a big tree falls, the young birds flutter around it.
>> mti mkuu umeanguka, ndege wa mashakani. --	a big tree has fallen, the birds are in trouble.
>> mtinda nywele kichwani. --	the one who cuts the hair on the head. usage: of chiefs: they don't know the day they will be dismissed. when someone tresses the hair of somebody, who will not know what kind of hairdo he or she will get?
>> mti pekee haujengi. --	one builds nothing with one tree only.
>> mti ukifa shinale na tanzuze hukauka. --	when a tree dies at its roots, its branches dry up also. if the leader dies, the followers often give up. this refers also to moral corruption.
>> mti ukigwa huegemea mti wenziwe. --	when a tree falls it leans on its neighbor. one looks to one's friend in adversity.
>> mti uliozoea kupanda rahisi kuteremka. --	the tree you used to climb in, is also easy to climb down. repetition makes it easy; but it is also easy to fall down from it.
>> mti upijwao mawe ni mti wenye matunda. --	the tree that people throw stones at is the tree that bears fruit.
>> mti usicheke gogo. --	a tree shouldn't laugh at the fallen tree trunk.
>> mti wa kimo chako hauwezi kukupa kivuli. --	a tree of your height cannot shade you. a person with the same ability as yourself cannot help you in matters which require greater ability than you have.
>> mti wa kufa ngedere, miti yote huteleza. --	the tree on which the ngedere died, causes all trees to be slippery [from weeping]. ngedere or kima, small black monkey.
>> mto haugeuzi mkondo wake. --	a river does not change its current. mkondo, current, flow, rush.
